name,year,number,condition,date,bids,price
Roberto Clemente,1957,76,VG-VGEX,2020-09-10,14,96
Roberto Clemente,1957,76,VG-VGEX,2020-09-09,30,151.71
Roberto Clemente,1957,76,VG-VGEX,2020-09-06,23,160.5
Roberto Clemente,1957,76,LOW GRADE (filler),2020-09-04,5,34.52
Roberto Clemente,1957,76,VG-VGEX,2020-08-31,27,78.78
Roberto Clemente,1957,76,EX-EXMINT,2020-08-30,23,134.27
Roberto Clemente,1957,76,EX-EXMINT (minimum size),2020-08-14,32,129.5
Roberto Clemente,1957,76,EX-EXMINT,2020-08-09,28,216.71
Roberto Clemente,1957,76,LOW GRADE (filler),2020-07-31,15,20.5
Roberto Clemente,1957,76,LOW GRADE (crease),2020-07-31,22,41
Warren Spahn,1957,90,LOW GRADE,2020-10-16,13,31
Warren Spahn,1957,90,EX-EXMINT,2020-09-20,20,52
Warren Spahn,1957,90,NR-MINT,2020-09-13,21,74.99
Warren Spahn,1957,90,EX-EXMINT,2020-09-05,18,52
Warren Spahn,1957,90,EX-EXMINT,2020-08-23,15,41.51
Warren Spahn,1957,90,VG-VGEX (crease),2020-08-14,14,18.5
Warren Spahn,1957,90,LOW GRADE (crease),2020-08-14,8,8.5
Warren Spahn,1957,90,NR-MINT,2020-08-09,15,57.54
Warren Spahn,1957,90,LOW GRADE (crease),2020-08-07,9,16.5
Warren Spahn,1957,90,LOW GRADE (crease),2020-07-31,8,7.75
Mickey Mantle,1957,95,LOW GRADE (crease),2020-09-18,27,155
Mickey Mantle,1957,95,VG-VGEX (wrinkle),2020-09-11,35,328
Mickey Mantle,1957,95,LOW GRADE (filler),2020-09-11,21,127.5
Mickey Mantle,1957,95,LOW GRADE (filler),2020-08-28,19,142.5
Al Kaline,1957,125,LOW GRADE (crease),2020-10-23,11,20
Al Kaline,1957,125,EX-EXMINT,2020-10-18,13,46.77
Al Kaline,1957,125,LOW GRADE,2020-10-02,14,23.09
Al Kaline,1957,125,LOW GRADE (crease),2020-10-02,17,15.83
Al Kaline,1957,125,VG-VGEX,2020-10-01,9,34
Al Kaline,1957,125,VG-VGEX,2020-09-22,21,36
Al Kaline,1957,125,NR-MINT,2020-09-20,31,180.27
Al Kaline,1957,125,VG-VGEX (crease),2020-09-18,12,23.5
Al Kaline,1957,125,VG-VGEX,2020-09-16,16,37
Al Kaline,1957,125,EX-EXMINT,2020-09-13,20,103.5
Al Kaline,1957,125,LOW GRADE,2020-09-11,12,22.6
Al Kaline,1957,125,VG-VGEX,2020-08-23,17,23.5
Al Kaline,1957,125,VG-VGEX (crease) (marked),2020-08-21,12,15.83
Al Kaline,1957,125,LOW GRADE (crease),2020-08-21,9,7.38
Al Kaline,1957,125,EX-EXMINT,2020-08-09,13,55
Sandy Koufax,1957,302,VG-VGEX,2020-10-15,13,99.94
Sandy Koufax,1957,302,VG-VGEX,2020-10-04,20,177.5
Sandy Koufax,1957,302,VG-VGEX,2020-10-01,25,88.74
Sandy Koufax,1957,302,VG-VGEX,2020-09-20,24,113.5
Sandy Koufax,1957,302,VG-VGEX,2020-09-13,23,111.29
Sandy Koufax,1957,302,VG-VGEX,2020-08-30,33,162.5
Sandy Koufax,1957,302,EX-EXMINT,2020-08-23,22,148.38
Sandy Koufax,1957,302,VG-VGEX,2020-08-09,23,173.5
Sandy Koufax,1957,302,LOW GRADE (glue),2020-07-31,19,61
