title,date,bids,price
1956 Topps Set Break # 31 - Hank Aaron LOW GRADE (white back) *GMCARDS*,2020-11-06,20,48.77
1956 Topps Set Break # 31 - Hank Aaron LOW GRADE *GMCARDS*,2020-11-06,35,123
1956 Topps Set Break #33 Roberto Clemente VG-VGEX *GMCARDS*,2020-12-20,21,316.52
1956 Topps Set Break # 33 - Roberto Clemente LOW GRADE (filler) *GMCARDS*,2020-12-18,23,100.99
1956 Topps Set Break # 33 - Roberto Clemente LOW GRADE (filler) *GMCARDS*,2020-12-18,20,107.5
1956 Topps Set Break #33 Roberto Clemente EX-EXMINT (white back) *GMCARDS*,2020-12-16,22,746
1956 Topps Set Break # 33 - Roberto Clemente VG-VGEX (white back) *GMCARDS*,2020-12-13,30,134.63
1956 Topps Set Break # 33 - Roberto Clemente VG-VGEX *GMCARDS*,2020-12-08,36,363
1956 Topps Set Break # 33 - Roberto Clemente VG-VGEX (white back) *GMCARDS*,2020-11-29,21,300.35
1956 Topps Set Break # 33 - Roberto Clemente VG-VGEX (white back) *GMCARDS*,2020-11-22,29,293
1956 Topps Set Break # 33 - Roberto Clemente VG-VGEX (white back) *GMCARDS*,2020-11-19,15,210.5
1956 Topps # 33 - Roberto Clemente LOW GRADE (crease) (white back) *GMCARDS*,2020-11-13,27,147.5
1956 Topps Set Break # 33 - Roberto Clemente LOW GRADE (crease) *GMCARDS*,2020-11-06,30,159.06
1956 Topps Set Break # 33 - Roberto Clemente EX-EXMINT *GMCARDS*,2020-11-01,36,420
1956 Topps Set Break # 79 Sandy Koufax NM-MT OR BETTER (white back) *GMCARDS*,2020-01-04,40,
1956 Topps Set Break # 79 Sandy Koufax LOW GRADE (filler) (white back) *GMCARDS*,2020-01-02,20,78
1956 Topps Set Break # 79 - Sandy Koufax LOW GRADE (filler) *GMCARDS*,2020-12-18,17,98.55
1956 Topps Set Break # 79 - Sandy Koufax LOW GRADE (crease) *GMCARDS*,2020-12-18,22,101.56
1956 Topps Set Break #79 Sandy Koufax NR-MINT (white back) *GMCARDS*,2020-12-16,26,521
1956 Topps Set Break # 79 - Sandy Koufax LOW GRADE (crease) *GMCARDS*,2020-12-11,22,103.5
1956 Topps Set Break # 79 - Sandy Koufax VG-VGEX *GMCARDS*,2020-12-08,33,202.5
1956 Topps Set Break # 79 - Sandy Koufax VG-VGEX (white back) *GMCARDS*,2020-11-29,33,154.5
1956 Topps Set Break # 79 - Sandy Koufax VG-VGEX *GMCARDS*,2020-11-19,27,193.5
